rls_sci_name;TW_tweet;TW_retweet;TW_favorite;TW_reply
Abalistes stellatus;17;11;57;1
Abudefduf abdominalis;7;0;0;0
Abudefduf bengalensis;13;3;1;0
Abudefduf concolor;3;0;0;0
Abudefduf conformis;0;0;0;0
Abudefduf luridus;23;30;122;2
Abudefduf notatus;6;0;2;1
Abudefduf saxatilis;82;100;323;27
Abudefduf septemfasciatus;3;0;2;1
Abudefduf sexfasciatus;66;24;118;10
Abudefduf sordidus;9;5;22;0
Abudefduf sparoides;1;0;0;0
Abudefduf troschelii;12;26;159;13
Abudefduf vaigiensis;37;78;63;16
Abudefduf whitleyi;3;2;0;0
Acanthaluteres brownii;4;4;10;0
Acanthaluteres spilomelanurus;9;7;23;1
Acanthaluteres vittiger;4;13;57;3
Acanthemblemaria atrata;6;1;0;0
Acanthemblemaria castroi;3;0;0;0
Acanthemblemaria crockeri;2;0;1;0
Acanthemblemaria hancocki;11;61;281;2
Acanthemblemaria spinosa;30;25;59;5
Acanthemblemaria stephensi;9;4;10;0
Acanthistius cinctus;4;5;9;0
Acanthistius ocellatus;7;4;8;0
Acanthistius pardalotus;0;0;0;0
Acanthistius patachonicus;5;3;2;1
Acanthistius sebastoides;1;0;0;0
Acanthistius serratus;1;1;5;0
Acanthochromis polyacanthus;29;82;277;14
Acanthopagrus australis;35;2;9;2
Acanthopagrus latus;36;353;135;5
Acanthostracion polygonius;47;9;15;7
Acanthostracion quadricornis;38;32;70;4
Acanthurus achilles;116;284;755;25
Acanthurus albipectoralis;4;0;0;0
Acanthurus auranticavus;3;0;0;0
Acanthurus bahianus;27;1;12;2
Acanthurus bariene;15;3;1;0
Acanthurus blochii;20;3;8;1
Acanthurus chirurgus;39;43;219;14
Acanthurus chronixis;7;1;4;1
Acanthurus coeruleus;47;57;238;33
Acanthurus dussumieri;44;11;38;4
Acanthurus fowleri;10;0;2;1
Acanthurus gahhm;10;0;0;0
Acanthurus grammoptilus;7;0;8;0
Acanthurus guttatus;27;10;25;3
Acanthurus leucocheilus;8;0;1;0
Acanthurus leucopareius;8;0;6;2
Acanthurus leucosternon;97;54;171;55
Acanthurus lineatus;48;31;79;5
Acanthurus maculiceps;12;0;0;0
Acanthurus mata;28;3;14;4
Acanthurus nigricans;47;115;284;7
Acanthurus nigricauda;13;2;12;1
Acanthurus nigrofuscus;39;16;38;4
Acanthurus nigroris;18;5;12;2
Acanthurus nubilus;4;0;0;0
Acanthurus olivaceus;43;31;168;4
Acanthurus pyroferus;40;28;95;5
Acanthurus reversus;4;0;0;0
Acanthurus sohal;39;15;37;3
Acanthurus tennentii;47;10;37;1
Acanthurus thompsoni;17;20;46;0
Acanthurus triostegus;53;30;83;11
Acanthurus tristis;26;1;4;0
Acanthurus xanthopterus;33;3;15;0
Achoerodus gouldii;16;66;301;6
Achoerodus viridis;36;37;143;6
Aetapcus maculatus;9;32;152;4
Aethaloperca rogaa;21;5;14;3
Afurcagobius tamarensis;4;0;0;0
Aioliops brachypterus;2;0;1;0
Aioliops novaeguineae;0;0;0;0
Albula glossodonta;13;6;26;1
Alectis ciliaris;86;84;127;20
Alloclinus holderi;7;8;26;1
Allomycterus pilatus;3;2;11;0
Alphestes immaculatus;5;0;5;2
Altrichthys azurelineatus;4;10;36;2
Altrichthys curatus;2;0;2;1
Aluterus scriptus;62;122;258;15
Amanses scopas;5;4;8;2
Ambassis jacksoniensis;2;0;0;0
Amblycirrhitus bimacula;1;0;0;0
Amblycirrhitus earnshawi;1;2;0;1
Amblycirrhitus pinos;18;0;9;2
Amblyeleotris fasciata;2;0;0;0
Amblyeleotris guttata;31;54;21;4
Amblyeleotris gymnocephala;2;0;0;1
Amblyeleotris japonica;4;0;0;0
Amblyeleotris periophthalma;10;0;3;2
Amblyeleotris steinitzi;15;9;39;0
Amblyeleotris sungami;5;3;2;0
Amblyeleotris wheeleri;29;2;7;2
Amblyglyphidodon aureus;33;15;65;4
Amblyglyphidodon batunai;1;0;0;0
Amblyglyphidodon curacao;15;57;197;3
Amblyglyphidodon flavilatus;0;0;0;0
Amblyglyphidodon indicus;6;0;0;0
Amblyglyphidodon leucogaster;17;1;2;2
Amblyglyphidodon melanopterus;0;0;0;0
Amblyglyphidodon orbicularis;1;0;0;0
Amblyglyphidodon ternatensis;6;6;14;0
Amblygobius buanensis;1;0;0;0
Amblygobius bynoensis;2;0;0;0
Amblygobius decussatus;7;0;1;0
Amblygobius nocturnus;2;1;1;0
Amblygobius phalaena;35;1;0;0
Amblyrhynchotes honckenii;6;6;9;0
Ammodytes tobianus;26;10;17;7
Amphichaetodon howensis;6;5;19;0
Amphichthys cryptocentrus;9;3;12;0
Amphiprion akallopisos;39;11;23;2
Amphiprion akindynos;40;20;66;3
Amphiprion allardi;21;4;7;2
Amphiprion bicinctus;53;38;78;5
Amphiprion chrysopterus;37;8;27;1
Amphiprion clarkii;119;70;261;12
Amphiprion ephippium;36;10;41;1
Amphiprion frenatus;45;24;67;4
Amphiprion fuscocaudatus;6;0;1;1
Amphiprion latezonatus;30;12;26;3
Amphiprion leucokranos;14;2;6;0
Amphiprion mccullochi;31;9;18;2
Amphiprion melanopus;38;26;72;0
Amphiprion nigripes;38;13;25;1
Amphiprion ocellaris;50;45;35;4
Amphiprion percula;58;101;365;7
Amphiprion perideraion;51;42;80;4
Amphiprion rubrocinctus;11;0;0;0
Amphiprion sandaracinos;41;6;9;2
Anampses caeruleopunctatus;21;8;16;2
Anampses cuvier;5;0;0;0
Anampses elegans;3;0;0;0
Anampses femininus;39;19;39;3
Anampses geographicus;0;0;0;0
Anampses lennardi;41;22;68;0
Anampses lineatus;15;0;2;0
Anampses melanurus;4;0;0;0
Anampses meleagrides;40;71;183;3
Anampses neoguinaicus;12;3;8;0
Anampses twistii;14;3;5;0
Anarrhichthys ocellatus;61;528;828;41
Anisotremus caesius;0;0;0;0
Anisotremus davidsonii;10;7;53;0
Anisotremus interruptus;7;7;80;5
Anisotremus scapularis;8;2;5;0
Anisotremus surinamensis;21;2;6;0
Anisotremus taeniatus;2;0;1;0
Anisotremus virginicus;57;43;103;4
Anoplocapros amygdaloides;4;1;1;0
Anoplocapros inermis;8;2;4;0
Anoplocapros lenticularis;34;30;79;6
Anyperodon leucogrammicus;21;6;28;2
Aphareus furca;3;0;2;0
Aphareus rutilans;5;1;1;0
Aploactisoma milesii;3;1;1;0
Aplodactylus arctidens;3;1;3;1
Aplodactylus etheridgii;0;0;0;0
Aplodactylus lophodon;6;8;11;0
Aplodactylus westralis;0;0;0;0
Apogon atradorsatus;4;0;0;0
Apogon atricaudus;0;0;0;0
Apogon binotatus;7;1;5;1
Apogon dovii;4;0;1;0
Apogon imberbis;50;29;136;17
Apogon lachneri;2;0;0;0
Apogon maculatus;24;3;19;0
Apogon pacificus;6;4;6;1
Apogon retrosella;0;0;0;0
Apogon townsendi;11;1;4;1
Apogonichthyoides timorensis;1;1;2;0
Apolemichthys trimaculatus;38;35;133;3
Aprion virescens;22;3;18;2
Aracana aurita;21;26;81;2
Aracana ornata;34;90;297;7
Archamia bleekeri;9;3;21;0
Arcos poecilophthalmos;1;0;0;0
Arenigobius frenatus;1;0;0;0
Argyrosomus hololepidotus;2;0;0;0
Argyrosomus japonicus;51;19;22;5
Arothron caeruleopunctatus;6;3;8;1
Arothron diadematus;36;0;10;1
Arothron hispidus;49;220;436;13
Arothron inconditus;1;0;0;0
Arothron manilensis;18;23;99;2
Arothron mappa;36;21;43;2
Arothron meleagris;73;469;471;19
Arothron nigropunctatus;55;48;113;9
Arothron stellatus;91;132;389;12
Arripis georgianus;6;0;1;2
Arripis trutta;80;113;238;26
Arripis truttacea;9;7;9;1
Arripis xylabion;1;0;0;0
Artedius harringtoni;36;63;217;12
Aspasmogaster tasmaniensis;5;1;1;0
Aspidontus dussumieri;10;12;46;6
Aspidontus taeniatus;35;84;335;17
Assessor flavissimus;22;4;8;1
Assessor macneilli;24;1;2;0
Assessor randalli;35;6;12;2
Assiculus punctatus;0;0;0;0
Asterropteryx striata;2;3;37;4
Atherina hepsetus;15;0;6;1
Atherina presbyter;17;4;5;1
Atherinomorus vaigiensis;4;0;1;0
Atractoscion aequidens;4;1;4;1
Atrosalarias holomelas;2;0;0;0
Atule mate;17;1;4;5
Atypichthys latus;5;0;4;0
Atypichthys strigatus;14;2;13;0
Aulacocephalus temminckii;8;0;0;0
Aulorhynchus flavidus;19;23;19;4
Austrolabrus maculatus;1;0;0;0
Axoclinus cocoensis;2;0;0;0
Axoclinus lucillae;0;0;0;0
Axoclinus multicinctus;1;0;0;0
Axoclinus rubinoffi;1;0;0;0
Azurina eupalama;17;17;34;9
Balistapus undulatus;57;54;102;10
Balistes capriscus;111;99;275;21
Balistes polylepis;13;6;12;0
Balistes punctatus;10;2;7;0
Balistes vetula;44;37;139;14
Balistoides conspicillum;77;143;411;15
Balistoides viridescens;58;26;44;9
Bathygobius krefftii;5;0;0;0
Bathygobius lineatus;2;0;0;0
Bathystethus cultratus;3;1;0;0
Batrachoides boulengeri;2;4;5;2
Belone belone;84;77;298;36
Belonoperca chabanaudi;13;24;56;0
Blenniella chrysospilos;22;3;10;1
Bodianus albotaeniatus;4;0;1;0
Bodianus anthioides;28;36;132;2
Bodianus axillaris;15;26;77;3
Bodianus bilunulatus;8;0;6;1
Bodianus diana;24;15;21;4
Bodianus dictynna;7;4;12;1
Bodianus diplotaenia;22;19;70;5
Bodianus eclancheri;7;6;22;4
Bodianus frenchii;12;3;8;0
Bodianus loxozonus;8;0;1;0
Bodianus mesothorax;22;29;70;4
Bodianus perditio;6;3;0;0
Bodianus rufus;40;27;103;6
Bodianus scrofa;17;6;11;1
Bodianus unimaculatus;8;16;35;1
Bolbometopon muricatum;51;77;228;14
Boops boops;80;319;1049;37
Boopsoidea inornata;0;0;0;0
Boreogadus saida;43;26;35;1
Bothragonus occidentalis;2;1;5;2
Bovichtus angustifrons;0;0;0;0
Bovichtus argentinus;0;0;0;0
Brachaluteres jacksonianus;27;47;109;7
Brachionichthys hirsutus;49;73;246;6
Brachyistius frenatus;1;0;0;0
Bryaninops amplus;19;9;40;0
Bryaninops erythrops;8;0;1;0
Bryaninops natans;29;762;497;52
Bryaninops nexus;1;0;0;0
Bryaninops yongei;42;21;48;1
Caesio caerulaurea;48;16;21;13
Caesio cuning;44;127;394;9
Caesio lunaris;58;2;15;2
Caesio striata;18;0;2;1
Caesio suevica;6;1;0;0
Caesio teres;77;20;75;24
Caesio varilineata;3;0;1;0
Caesio xanthonota;18;2;34;0
Caesioperca lepidoptera;6;2;6;0
Caesioperca rasor;1;0;0;0
Caesioscorpis theagenes;1;0;1;0
Caffrogobius nudiceps;2;3;3;0
Calamus bajonado;13;3;3;0
Calamus brachysomus;2;0;1;0
Calamus calamus;0;0;0;0
Calamus pennatula;3;0;1;0
Calamus taurinus;2;12;12;0
Callanthias australis;4;1;2;3
Calliclinus geniguttatus;4;5;11;0
Callionymus comptus;8;0;19;11
Callionymus lyra;35;20;45;12
Calloplesiops altivelis;38;26;127;0
Calotomus carolinus;19;18;73;9
Calotomus japonicus;9;0;8;1
Calotomus spinidens;6;0;7;0
Calotomus viridescens;4;0;1;1
Cantherhines dumerilii;9;32;216;1
Cantherhines fronticinctus;5;10;80;1
Cantherhines longicaudus;0;0;0;0
Cantherhines macrocerus;29;16;30;0
Cantherhines pardalis;6;1;4;1
Cantherhines pullus;9;3;7;2
Cantherhines sandwichiensis;2;13;20;1
Cantheschenia grandisquamis;2;0;0;0
Canthidermis maculata;17;31;220;1
Canthidermis sufflamen;7;7;12;1
Canthigaster amboinensis;4;1;9;3
Canthigaster axiologus;1;0;0;0
Canthigaster bennetti;16;6;29;2
Canthigaster callisterna;9;2;1;0
Canthigaster capistrata;4;0;6;0
Canthigaster coronata;23;1;12;0
Canthigaster cyanetron;1;0;0;0
Canthigaster epilampra;1;0;0;0
Canthigaster figueiredoi;1;0;0;0
Canthigaster jactator;20;127;378;5
Canthigaster janthinoptera;11;3;14;0
Canthigaster marquesensis;0;0;0;0
Canthigaster papua;38;26;91;3
Canthigaster punctatissima;7;12;29;0
Canthigaster rapaensis;0;0;0;0
Canthigaster rivulata;15;26;59;3
Canthigaster rostrata;36;14;68;5
Canthigaster sanctaehelenae;1;4;15;4
Canthigaster smithae;4;1;12;3
Canthigaster valentini;52;68;198;7
Caprodon longimanus;21;22;70;9
Caracanthus maculatus;11;26;63;3
Caracanthus typicus;0;0;0;0
Caracanthus unipinna;1;1;4;1
Carangoides bajad;17;2;5;0
Carangoides bartholomaei;25;4;16;1
Carangoides chrysophrys;12;12;26;0
Carangoides ferdau;10;2;23;2
Carangoides fulvoguttatus;18;5;10;2
Carangoides gymnostethus;15;2;11;1
Carangoides orthogrammus;22;13;32;1
Carangoides plagiotaenia;11;2;8;1
Caranx caballus;8;3;3;1
Caranx caninus;11;0;8;0
Caranx crysos;46;12;55;4
Caranx ignobilis;76;230;514;45
Caranx lugubris;34;69;180;3
Caranx melampygus;48;29;64;5
Caranx papuensis;12;25;38;2
Caranx sexfasciatus;56;103;348;9
Caulolatilus princeps;8;7;13;4
Centroberyx affinis;8;7;9;1
Centroberyx gerrardi;7;2;3;4
Centroberyx lineatus;3;12;28;2
Centrogenys vaigiensis;5;17;19;3
Centrolabrus exoletus;11;5;8;0
Centrolabrus melanocercus;10;13;26;1
Centropogon australis;18;7;11;3
Centropyge acanthops;42;10;65;1
Centropyge argi;38;5;17;1
Centropyge bicolor;68;25;126;0
Centropyge bispinosa;89;10;20;1
Centropyge eibli;40;2;15;2
Centropyge ferrugata;36;1;1;0
Centropyge fisheri;28;0;1;0
Centropyge flavissima;75;61;217;7
Centropyge heraldi;26;7;12;0
Centropyge hotumatua;5;0;3;3
Centropyge joculator;35;39;114;7
Centropyge loriculus;114;42;136;10
Centropyge multispinis;11;0;2;0
Centropyge nox;15;0;2;1
Centropyge tibicen;28;0;1;1
Cephalopholis argus;42;25;49;9
Cephalopholis boenak;4;0;0;1
Cephalopholis cruentata;30;4;6;1
Cephalopholis cyanostigma;12;16;20;3
Cephalopholis formosa;26;10;29;0
Cephalopholis fulva;47;63;222;13
Cephalopholis hemistiktos;6;20;5;5
Cephalopholis leopardus;6;1;15;2
Cephalopholis microprion;3;0;1;0
Cephalopholis miniata;51;24;37;10
Cephalopholis panamensis;4;29;42;0
Cephalopholis sexmaculata;4;0;0;0
Cephalopholis sonnerati;28;7;22;1
Cephalopholis spiloparaea;7;0;2;2
Cephalopholis urodeta;11;2;8;0
Cetoscarus bicolor;85;109;270;14
Chaenopsis schmitti;2;10;22;0
Chaetodermis penicilligerus;35;4;22;1
Chaetodipterus faber;45;23;41;1
Chaetodipterus zonatus;3;0;1;0
Chaetodon adiergastos;15;9;74;2
Chaetodon andamanensis;5;0;0;0
Chaetodon argentatus;6;1;4;0
Chaetodon assarius;6;0;0;1
Chaetodon aureofasciatus;6;0;0;0
Chaetodon auriga;61;63;192;6
Chaetodon auripes;10;0;5;3
Chaetodon austriacus;24;12;28;2
Chaetodon baronessa;13;21;63;6
Chaetodon bennetti;29;4;11;1
Chaetodon capistratus;48;26;80;8
Chaetodon citrinellus;12;7;11;0
Chaetodon collare;40;10;24;0
Chaetodon decussatus;11;0;0;0
Chaetodon dolosus;2;16;43;1
Chaetodon ephippium;42;4;25;0
Chaetodon falcula;19;1;1;0
Chaetodon fasciatus;47;8;17;2
Chaetodon flavirostris;21;24;76;1
Chaetodon guentheri;19;5;14;0
Chaetodon guttatissimus;7;0;0;0
Chaetodon humeralis;7;6;39;2
Chaetodon interruptus;9;1;1;0
Chaetodon kleinii;58;16;94;13
Chaetodon lineolatus;23;10;47;9
Chaetodon litus;14;101;306;12
Chaetodon lunula;114;117;448;13
Chaetodon lunulatus;37;84;820;12
Chaetodon madagaskariensis;10;13;62;0
Chaetodon marleyi;8;16;49;0
Chaetodon melannotus;41;19;68;3
Chaetodon mertensii;9;0;0;0
Chaetodon meyeri;24;3;17;2
Chaetodon miliaris;37;37;100;0
Chaetodon multicinctus;14;1;2;0
Chaetodon ocellatus;24;2;3;0
Chaetodon ocellicaudus;7;9;28;1
Chaetodon octofasciatus;27;18;48;1
Chaetodon ornatissimus;41;107;297;12
Chaetodon oxycephalus;0;0;0;0
Chaetodon paucifasciatus;33;54;124;5
Chaetodon pelewensis;6;4;26;0
Chaetodon plebeius;18;12;38;0
Chaetodon punctatofasciatus;10;0;0;0
Chaetodon quadrimaculatus;13;10;29;2
Chaetodon rafflesii;26;4;24;3
Chaetodon rainfordi;7;20;65;0
Chaetodon reticulatus;11;48;179;1
Chaetodon sedentarius;18;6;18;1
Chaetodon semeion;2;7;23;0
Chaetodon semilarvatus;49;170;316;11
Chaetodon speculum;14;46;242;3
Chaetodon striatus;42;23;55;2
Chaetodon triangulum;6;0;2;0
Chaetodon trichrous;6;1;3;0
Chaetodon tricinctus;7;1;8;1
Chaetodon trifascialis;29;34;106;5
Chaetodon trifasciatus;24;3;10;2
Chaetodon ulietensis;35;10;31;4
Chaetodon unimaculatus;20;3;11;1
Chaetodon vagabundus;27;2;14;2
Chaetodon xanthocephalus;20;17;48;2
Chaetodon xanthurus;29;64;342;3
Chaetodon zanzibarensis;6;12;29;1
Chaetodontoplus conspicillatus;34;19;68;1
Chaetodontoplus duboulayi;35;55;213;4
Chaetodontoplus meredithi;19;6;17;1
Chaetodontoplus mesoleucus;18;6;23;0
Chaetodontoplus personifer;14;2;7;1
Chaetodontoplus septentrionalis;36;6;25;0
Chaetodontoplus vanderloosi;5;9;29;1
Champsocephalus esox;2;6;19;1
Chanos chanos;138;139;456;57
Cheilinus abudjubbe;9;1;0;0
Cheilinus chlorourus;17;10;16;1
Cheilinus fasciatus;26;25;66;4
Cheilinus lunulatus;27;6;11;0
Cheilinus oxycephalus;6;8;24;0
Cheilinus trilobatus;20;20;48;6
Cheilinus undulatus;78;349;459;68
Cheilio inermis;9;2;18;1
Cheilodactylus ephippium;2;2;2;0
Cheilodactylus fasciatus;2;1;1;0
Cheilodactylus francisi;2;0;0;0
Cheilodactylus fuscus;10;10;62;0
Cheilodactylus gibbosus;0;0;0;0
Cheilodactylus nigripes;10;18;66;0
Cheilodactylus pixi;0;0;0;0
Cheilodactylus plessisi;0;0;0;0
Cheilodactylus rubrolabiatus;4;1;2;1
Cheilodactylus spectabilis;8;2;8;1
Cheilodactylus vestitus;2;2;6;0
Cheilodactylus zebra;0;0;0;0
Cheilodactylus zonatus;14;45;156;7
Cheilodipterus arabicus;53;164;805;51
Cheilodipterus artus;2;0;0;0
Cheilodipterus intermedius;1;0;0;0
Cheilodipterus isostigmus;2;0;0;0
Cheilodipterus lachneri;1;0;0;0
Cheilodipterus macrodon;22;4;6;0
Cheilodipterus nigrotaeniatus;2;1;6;2
Cheilodipterus parazonatus;0;0;0;0
Cheilodipterus quinquelineatus;18;9;30;1
Cheiloprion labiatus;3;0;1;0
Chelidonichthys capensis;1;0;0;0
Chelmon marginalis;20;2;2;1
Chelmon rostratus;102;40;95;12
Chelmonops curiosus;6;16;66;1
Chelmonops truncatus;11;9;13;1
Chelon auratus;59;261;73;4
Chelon labrosus;206;126;311;68
Chelon ramada;94;261;26;23
Chelon richardsonii;100;541;1081;63
Chelonodon pleurospilus;4;3;34;1
Chilomycterus antennatus;16;4;11;1
Chilomycterus reticulatus;37;20;76;2
Chirodactylus brachydactylus;1;0;0;0
Chirolophis ascanii;6;0;1;0
Chironemus maculosus;0;0;0;0
Chironemus marmoratus;5;2;3;0
Chironemus microlepis;0;0;0;0
Chlorurus atrilunula;0;0;0;0
Chlorurus bleekeri;9;1;5;1
Chlorurus bowersi;8;8;52;0
Chlorurus capistratoides;13;6;20;0
Chlorurus frontalis;6;24;44;1
Chlorurus gibbus;19;6;24;2
Chlorurus japanensis;4;62;127;0
Chlorurus microrhinos;23;20;84;3
Chlorurus rhakoura;4;8;53;3
Chlorurus sordidus;55;137;439;12
Chlorurus spilurus;7;2;6;0
Chlorurus strongylocephalus;16;4;16;2
Choerodon anchorago;20;14;47;3
Choerodon azurio;14;0;15;2
Choerodon cauteroma;1;3;5;0
Choerodon cephalotes;1;0;0;0
Choerodon cyanodus;5;4;4;0
Choerodon fasciatus;55;11;33;2
Choerodon graphicus;6;3;2;0
Choerodon jordani;2;0;0;0
Choerodon monostigma;1;0;0;0
Choerodon rubescens;3;3;7;1
Choerodon schoenleinii;37;177;322;10
Choerodon vitta;0;0;0;0
Chriolepis dialepta;0;0;0;0
Chromis abrupta;0;0;0;0
Chromis acares;9;0;1;0
Chromis agilis;1;0;0;0
Chromis alpha;24;4;7;3
Chromis alta;2;0;1;0
Chromis amboinensis;7;3;9;0
Chromis analis;13;3;3;0
Chromis atrilobata;1;0;1;0
Chromis atripectoralis;10;15;51;0
Chromis atripes;2;2;11;0
Chromis bami;0;0;0;0
Chromis caudalis;1;0;0;0
Chromis chromis;43;286;155;6
Chromis chrysura;4;0;0;0
Chromis cinerascens;0;0;0;0
Chromis crusma;15;6;21;2
Chromis cyanea;39;15;31;2
Chromis dimidiata;8;0;0;0
Chromis dispilus;6;6;19;1
Chromis elerae;0;0;0;0
Chromis flavaxilla;1;0;0;0
Chromis flavipectoralis;2;0;0;0
Chromis flavomaculata;5;0;1;0
Chromis fumea;2;6;18;1
Chromis hanui;1;0;0;0
Chromis hypsilepis;8;1;2;0
Chromis insolata;9;0;0;0
Chromis iomelas;7;38;131;3
Chromis klunzingeri;1;0;0;0
Chromis lepidolepis;0;0;0;0
Chromis limbata;11;10;19;0
Chromis limbaughi;8;0;0;0
Chromis lineata;3;0;0;0
Chromis margaritifer;14;5;26;0
Chromis multilineata;16;7;23;1
Chromis nigrura;2;0;0;0
Chromis nitida;21;6;11;2
Chromis notata;32;19;56;2
Chromis opercularis;6;0;0;0
Chromis ovalis;2;0;0;0
Chromis pamae;0;0;0;0
Chromis pelloura;1;0;0;0
Chromis pembae;0;0;0;0
Chromis punctipinnis;16;27;67;0
Chromis randalli;4;0;0;0
Chromis retrofasciata;11;2;10;1
Chromis scotochiloptera;0;0;0;0
Chromis scotti;7;0;0;0
Chromis ternatensis;25;78;181;3
Chromis vanderbilti;31;3;11;2
Chromis viridis;22;2;12;6
Chromis weberi;11;0;0;0
Chromis westaustralis;1;0;0;0
Chromis xanthochira;4;1;0;0
Chromis xanthura;5;2;0;0
Chromis xutha;0;0;0;0
Chrysiptera biocellata;6;2;2;0
Chrysiptera bleekeri;3;0;0;1
Chrysiptera brownriggii;5;0;0;0
Chrysiptera caesifrons;13;10;7;0
Chrysiptera cyanea;37;32;46;5
Chrysiptera flavipinnis;6;2;5;0
Chrysiptera galba;5;0;2;0
Chrysiptera glauca;3;0;1;0
Chrysiptera hemicyanea;40;340;360;13
Chrysiptera notialis;0;0;0;0
Chrysiptera oxycephala;4;5;31;1
Chrysiptera parasema;60;7;13;2
Chrysiptera rapanui;2;24;61;3
